2016-09-28 00:05:30.479 | SandleSyncEngine         | WARNING  | Thumbnail does not exist: D:\data\Session-2835a3c0-0d44-11e6-92ed-408d5c1606f4\w03_z06_thumb.png
2016-09-28 00:05:30.479 | SandleSyncEngine         | WARNING  | Thumbnail does not exist: D:\data\Session-2835a3c0-0d44-11e6-92ed-408d5c1606f4\w08_z06_thumb.png
2016-09-28 00:05:30.479 | SandleSyncEngine         | WARNING  | Thumbnail does not exist: D:\data\Session-2835a3c0-0d44-11e6-92ed-408d5c1606f4\w15_z06_thumb.png
2016-09-28 00:05:30.479 | SandleSyncEngine         | WARNING  | Thumbnail does not exist: D:\data\Session-2835a3c0-0d44-11e6-92ed-408d5c1606f4\w04_z06_thumb.png
2016-09-28 00:05:30.479 | SandleSyncEngine         | WARNING  | Thumbnail does not exist: D:\data\Session-2835a3c0-0d44-11e6-92ed-408d5c1606f4\w07_z06_thumb.png
2016-09-28 00:05:30.479 | SandleSyncEngine         | WARNING  | Thumbnail does not exist: D:\data\Session-2835a3c0-0d44-11e6-92ed-408d5c1606f4\w05_z06_thumb.png
2016-09-28 00:05:30.479 | SandleSyncEngine         | WARNING  | Thumbnail does not exist: D:\data\Session-2835a3c0-0d44-11e6-92ed-408d5c1606f4\w02_z06_thumb.png
2016-09-28 00:05:30.479 | SandleSyncEngine         | WARNING  | Thumbnail does not exist: D:\data\Session-2835a3c0-0d44-11e6-92ed-408d5c1606f4\w06_z06_thumb.png
2016-09-28 00:05:30.479 | SandleSyncEngine         | WARNING  | Thumbnail does not exist: D:\data\Session-2835a3c0-0d44-11e6-92ed-408d5c1606f4\w10_z06_thumb.png
2016-09-28 00:05:30.479 | SandleSyncEngine         | WARNING  | Thumbnail does not exist: D:\data\Session-2835a3c0-0d44-11e6-92ed-408d5c1606f4\w01_z06_thumb.png
2016-09-28 00:05:30.479 | SandleSyncEngine         | WARNING  | Thumbnail does not exist: D:\data\Session-2835a3c0-0d44-11e6-92ed-408d5c1606f4\w12_z06_thumb.png
